あいじょう	愛情	爱情，爱慕
ねんねん	年々	年年
の	野	原野，田野
のう	能	能(古典歌舞剧)
のうか	農家	农民，农户
のうきぐ	農機具	农机具
のうぎょう	農業	农业
のうみん	農民	农民
のうりつ	能率	效率
のき	軒	屋檐
のこす	残す	剩下
のこらず	残らず	全部，统统
のせる	乗せる	放，装载
のぞむ	望む	希望，指望
のぼる	昇る	升高，飞
のり		紫菜
のりおり	乗り降り	上下(车)
のりだす	乗り出す	探出
のんびり		悠闲，舒坦
わりきれる	割り切れる	除得尽
わな	罠	圈套
わたしたち		我们
わた	綿	棉花
わずか	僅か	仅仅，仅有
わしつ	和室	日本式房间
わざわい	災い	灾祸，灾难
わける	分ける	分，分开
わけ		原因，理由
わき	脇	腋
わかれる	分かれる	分歧
わかる	分かる	明白，懂
わがまま		任性，放肆
わかちがき	分かち書き	(为易读懂)把句节或词之间分开的写法
わがくに	わが国	我国
わか	和歌	和歌
ハーモニカ		口琴
はいえん	肺炎	肺炎
はいきぶつ	廃棄物	媒介，传播
ハイキング		郊游，徒步旅行
はいく	俳句	俳句
はいごう	配合	配合，配
はいぞく	配属	分配
ばいてん	売店	小卖部，小卖店
パイナップル		菠萝
バイバイ		再见
ハイヒール		高跟鞋
はいふく	拝復	(写回信的开头用语)敬复者
パイロット		飞机驾驶员
はか	墓	墓
ばか		傻瓜，笨蛋
はがす		剥下，揭下
はかせ	博士	博士
はかまいり	墓参り	扫墓
パキスタン		巴基斯坦
はきだす	吐き出す	吐出，冒出，倒出
はきもの	履物	鞋(类的总称)
はく	掃く	扫
はく	吐く	吐，冒出，吐露
はくさい	白菜	白菜
はくし	白紙	白纸
はくしゅ	拍手	拍手
はくしょ	白書	白皮书
ばくだい	莫大	巨大，莫大
はくちゅう	白昼	白昼，白天
ばくふ	幕府	幕府(日本早年的武士政权机构)
はくぶつかん	博物館	博物馆
はげしい	激しい	激烈，强烈
はこにわ	箱庭	庭园盆景
はこびちん	運び賃	运费
はさみ	鋏	剪子
はし	端	边，端
はし	箸	筷子
はじめ	始め	开始；起初，当初
はしもと	橋本	桥本(姓氏)
ばしょ	場所	场所，地方，地点
はしら	柱	柱子
パス		通过
はずす	外す	摘掉
はせがわ	長谷川	长谷川(姓氏)
パターン		型，类型
はたけ	畑	旱田，田地
はち	鉢	花盆
ばつ	罰	罚
はっけん	発見	发现
はっせいき	８世紀	8世纪
はったつ	発達	发达
はってん	発展	发展
はつでんき	発電機	发电机
はっぴょう	発表	发表
はつめい	発明	发明
はて	果て	边，边际，最后
バドミントン		羽毛球
はなしあい	話し合い	商谈
はなしあう	話し合う	互相谈论
はなして	話して	说话人
はなす	放す	撒开，松开
バナナ		香蕉
はなび	花火	烟火
はなれじま	離れ島	孤岛
はならばなれ	離れ離れ	分离，分散
はなれる	離れる	离开，离别
ははは		哈哈
はみだす	はみ出す	溢出，挤出
はめる		安上，嵌，镶
ばめん	場面	场面
はやし	林	林
はやめ	早め	早些，提前
はら	腹	肚子
はり	針	针，指针
はるかに		远，遥远
はれ	晴れ	晴，晴天
ハワイ		夏威夷
ばん	番	轮班，顺序
はんこう	反抗	反抗
バンコク		曼谷
ばんじ	万事	万事
はんせいきあまり	半世紀余り	半个多世纪
はんどう	反動	反动
はんどうたい	半導体	半导体
ハンバーグ		汉堡牛肉饼
ばんぶつ	万物	万物
ばんりのちょうじょう	万里の長城	万里长城
ひ	費	~费
ひあい	悲哀	悲哀
ひあたり	日当たり	向阳处
ピーアール（ＰＲ）		宣传
ピーマン		柿子椒
ビール		啤酒
ひがえり	日帰り	当天，返回
ひかくてき	比較的	比较
ひかげ	日陰	背阴处
ひかり	光	光
ひかりごう	ひかり号	光号
ひかる	光る	发光，发亮
ひきうける	引き受ける	接受，承担
ひきかえ	引き替え	交换
ひきかえす	引き返す	返回，折回
ひきかえる	引き換える	换，交换，兑换
ひきさがる	引き下がる	撒手，罢休
ひきしめる	引き締める	勒紧，抓紧，紧缩
ひきだす	引き出す	拉出，抽出
ひきとめる	引き止める	挽留
ひきのばす	引き伸ばす	拉长，拖延
ひきわけ	引き分け	拉开，平局
ひぐれ	日暮れ	日暮，黄昏
ひげき	悲劇	悲剧
びこう	備考	备考，备注
ひこく	被告	被告
ビザ		签证
びしょう	微小	极少，微小
ひじょう	非常	非常，极，很
ひたん	悲嘆	悲叹
ひつう	悲痛	悲痛
ひっかかる	引っ掛かる	挂上，卡住
ひっかける	引っ掛ける	挂上，挂起来
びっくり		吃惊
ひっくりかえる	引っ繰り返る	倒，翻倒
ひっこむ	引っ込む	退居，缩进
ひっし	必至	必然到来
ひっしゃ	筆者	笔者，作者
ひつじゅひん	必需品	必需品
ひっぱる	引っ張る	拉，拽
ひどい	酷い	厉害，残酷，无情
ひとえ	一重	一层
ひときわ	一際	格外，显眼
ひとこと	一言	几句话
ひとしい	等しい	相同，相等
ひとで	人手	他人，帮手
ひととおり	一通り	大概，大略
ひとなみ	人並み	普通，平常
ひとまとめ	一まとめ	归纳，总括
ひとまわり	一回り	一周，一圈
ひとみ	瞳	瞳孔
ひとりごと	独り言	自言自语
ひとりでに	独りでに	自然而然
ひなまつり	ひな祭り	女儿节
ビニール		乙烯树脂，塑料
ひにち	日にち	日期，时日
ひび		裂口，裂痕
ひやくてき	飛躍的	飞跃
ひゃくパーセント	100%	百分之百
ひやす	冷やす	凉一凉，冰镇
ひゃっかじてん	百科事典	百科全书
ひゃっかてん	百貨店	百货商店
ひややか	冷ややか	凉，冷，冷淡，冷静
ひゆ	比喩	比喻
びょう	秒	秒，秒钟；~秒
びょう	鋲	图钉
ひょうご	標語	标语
ひょうし	拍子	拍子
ひょうじゅん	標準	标准
ひょうばん	評判	名声，评价
ひょうめい	表明	表明
ひょうろん	評論	评论
ひよく	肥沃	肥沃
ビリヤード		台球
ひるね	昼寝	午睡
ひるむ		畏怯，胆怯
ひろう	披露	表演，宣布
ひろがる	広がる	扩展
ひろさ	広さ	宽度，面积
ひろば	広場	广场
ひろびろ	広広	辽阔，宽广
ひん	品	~品
ふ	府	府，机关
ふ	不	不~
ファクシミリ		传真
ふうう	風雨	风雨
ふうせん	風船	气球
ふうん		噢
ふえつづける	増え続ける	继续增加
ふかのう	不可能	不可能
ふかめ	深め	加深
ふきげん	不機嫌	不愉快，不高兴
ふきそく	不規則	不规则，零乱
ふきだす	吹き出す	笑出声
ぶきみ	無気味	令人不快
ふきゅう	普及	普及
ふきよう	不器用	笨，笨拙
ふく	拭く	擦
ふくしょく	服飾	服饰
ふくすう	複数	复数
ふくそう	服装	服装
ふくむ	含む	包含，含有
ふくろ	袋	口袋，袋
ふけい	父兄	父兄
ふけつ	不潔	不干净，脏
ふさい	夫妻	夫妻
ぶし	武士	武士
ぶじ	無事	没事
ふしぎ（だ）	不思議	不可思议
ふしぜん	不自然	不自然，勉强
ぶしゅ	部首	部首
ふじん	婦人	妇女
ふせい	不正	不正经，不正派
ふせる	伏せる	隐藏，埋伏
ふそく	不足	不足，缺少
ふたたび	再び	再，又，重
ふだんぎ	普段着	便服
ぶつかる		碰撞
ふっき	復帰	恢复，复职，复原
ぶっしつ	物質	物质
ぶっぴん	物品	物品，物件
ぶつり	物理	物理
ふなびん	船便	船运邮件
ふひつよう	不必要	不必要
ふぶき	吹雪	暴风雪
ぶぶん	部分	部分，一部分
ふへん	不変	不变，永恒
ふへんてき	普遍的	普遍
ふもと	麓	山脚
ふよう	不要	不要，不需要
ぶらつく		摇摇晃晃，摇摇摆摆
ふりかける	振り掛ける	撒上
ふりがな	振り仮名	注音假名
ふりだす	降り出す	下起
ふりつづく	降り続く	连续下(雨或雪)
ふりょうひん	不良品	次品，不合格产品
ふる	振る	挥动
ふるさと	故郷	故乡
ふろ	風呂	澡盆，浴池
プロ		职业的，专业的
ふろく	付録	附录
プロレタリア		无产者，无产阶级
ふん	分	~分
ふんか	噴火	(火山)喷发
ぶんか	分化	分化
ぶんげい	文芸	文艺
ぶんけん	文献	文献
ぶんしょう	文章	文章
ぶんみゃく	文脈	文理
ぶんりょう	分量	分量，重量
へい	丙	丙
へいかい	閉会	闭会
へいき	平気	不在乎，镇静
へいじつ	平日	平日，平素
へいてん	閉店	关门，停止营业
へいぼん	平凡	平凡，普通
へいわ	平和	和平
へえ		嘿
ページ		页
へだてる	隔てる	隔，间隔
べっきょ	別居	分居
べつに	別に	另外，除此以外
べつびん	別便	另函，另寄
べにしょうが	紅生姜	红姜
ヘリコプター		直升飞机
へる	減る	减少
べん	便	便利，方便
ぺん		笔，钢笔
へんか	変化	变化
べんがく	勉学	勤学，读书
べんきょういがい	勉強以外	除了学习以外
べんぎをはかる	便宜を図る	提供方便
べんとう	弁当	盒饭
ぼう	棒	棒
ほうい	方位	方位，方向
ほうがく	方角	方位，方向
ほうかご	放課後	放学后
ほうこく	報告	汇报，报告
ぼうじょ	防除	防治，防除
ぼうだい	膨大	庞大
ほうふ	抱負	抱负
ほうほう	方法	方法
ほうめん	方面	方面
ほうもんぎ	訪問着	会客和服
ほうもんちゅう	訪問中	正在访问中
ぼうりょく	暴力	暴力
ボーリング		地滚球游戏
ボールがみ	ボール紙	纸板，厚纸
ほか	他	以外
ぼかす	暈す	晕色，烘托
ぼく		我(男人对同辈或晚辈用)
ほくせい	北西	西北
ぼくたち		我们
ほくぶ	北部	北部
ほこ	矛	矛
ほこり	埃	灰尘，尘土
ほころびる		绽线，开线
ほす	干す	晒，晾
ポスター		招贴画，广告画
ポスト		邮筒，信箱
ほっきょく	北極	北极
ほったん	発端	开端，开始，起源
ほとけ	仏	佛
ほのぼの		模糊，朦胧
ほら		瞧
ほる	掘る	挖，掘
ほろぶ	滅ぶ	灭亡，灭绝
ぼんさい	盆栽	盆景
ほんじつ	本日	本日，今天
ぼんち	盆地	盆地
ほんにん	本人	本人
まあまあ		得了，好了
まいあがる	舞い上がる	飞起
まがる	曲がる	拐弯
まぎらす	紛らす	蒙混，掩饰
まぎわ	間際	将要~的时候
まく	巻く	卷，卷起，拧
まくる		卷，卷起，挽
まげる	曲げる	弯曲
まご	孫	孙子，孙女，外孙子，外孙女
ます	升	升，斗形
ます	増す	增加
まずしい		贫穷
ますます		越来越~
まぜあわせる	混ぜ合わせる	掺混搅拌
まぜる	混ぜる	混，掺混
またぐ		迈过，跨过
まだまだ		还
まだら		斑点，花斑
まちあいしつ	待合室	候诊室
まちがう	間違う	错，弄错
まちなみ	町並み	街道
まっしろ	真っ白	雪白
まつまと	松本	松本(姓氏)
まつる	祭る	祭祀
まつわる		相关，关联
マティ		马迪
まどガラス	窓ガラス	玻璃窗
まなぶ	学ぶ	学，学习
まね	真似	学，装，模仿
まぶた		眼皮，眼睑
まふゆ	真冬	严冬，隆冬
まほう	魔法	魔术，妖术
まめ	豆	豆
まもなく	間も無く	不久，不一会儿
まもる	守る	恪守，遵守
もよう	迷う	犹豫不决
マラソン		马拉松
マルクス		马克思
まるで		简直
まるやまこうえん	円山公園	圆山公园
まわす	回す	转，旋转
まんいん	満員	客满，拥挤
まんぞく（する）	満足	满足，满意
まんなか	真ん中	正中
み	実	果实
みうしなう	見失う	看不到，迷失
みおくる	見送る	送行
みかた	見方	己方，同伙，伙伴
みかん		桔子
みきわめる	見極める	看清，看透
みくらべる	見比べる	比较
みじん		微量，微小
みずあび	水浴び	洗澡，淋浴
みずみずしい		新鲜，娇嫩
みぜん	未然	未然，未发生前
みだし	見出し	标题
みため	見た目	外观
みだり		擅自，随便
みちじゅん	道順	路线，顺序
みちすじ	道筋	道路，路线，条理
みとめる	認める	承认，同意
みなおす	見直す	重看，重新认识
みなれる	見慣れる	看惯
みまもる	見守る	关怀，照料
みまわす	見回す	环视
みやげばなし	みやげ話	旅途见闻
みやこ	都	首都，都城
みらい	未来	未来
ミリ		~毫
ミリグラム		~毫克
ミリメートル		~毫米
みりょく	魅力	魅力，吸引力
ミリリットル		~毫升
みんしゅ	民主	民主
みんしゅう	民衆	民众
みんぞくだいいどう	民族大移動	民族大迁移
むいしき	無意識	无意识
むかう	向かう	向，对
むく	向く	适合
むく	剥く	剥，削
むくいる	報いる	酬谢，报答
むける	向ける	向，朝
むごい	惨い	悲惨，残酷
むざん	無残	凄惨，残酷
むじゅん	矛盾	矛盾
むしん	無心	无心，天真
むすぶ	結ぶ	连接
むだ	無駄	浪费，白费
むちゅう	夢中	热中于~，着迷
むね	胸	胸膛
むやみ		胡乱，随便
むら		(颜色)深浅不均，斑点
むらさき	紫	紫色
むりょう	無料	免费，不要钱
むれ	群れ	一伙，一帮，群
むろまち	室町	室町
め	芽	芽
め		第~
めいわく	迷惑	觉得麻烦，为难
メーデー		五一国际劳动节
めし	飯	饭，主食
めした	目下	部下，下级，晚辈
めじるし	目印	记号，标记
メス		雌，牝，母
めだつ	目立つ	引人注目
めでたい		可喜，可贺
めど		目标，眉头，头绪
メニュー		菜单
めやす	目安	基准
メロン		甜瓜，网纹甜瓜
めん	面	方面
めんせき	面積	面积
めんどう	面倒	麻烦
メンバー		成员，分子
もうら	網羅	罗网，收罗
もえあがる	燃え上がる	燃烧起
もえる	燃える	燃烧，着火
モーターボート		汽艇，快速艇
もくざい	木材	木材
もくじ	目次	目录，目次
もくてき	目的	目的
もじ	文字	文字
もたれる		凭靠，不消化
もちいる	用いる	使用，用
もちだす	持ち出す	拿出去
もっか	目下	目前，当前
もっとも	最も	最
もと	元	原来
もとめる	求める	追求
もとより		本来，原来
もの	者	人，者
もみじ	紅葉	红叶
もも	桃	桃
もも	腿	大腿
もよう	模様	花样，花纹
もり	森	树林，森林
もりこむ	盛り込む	加进
もりつける	盛り付ける	把饭菜很好地盛在器皿上
やがて		不久
やかましい		吵闹，嘈杂
やきもの	焼き物	陶瓷
やく	役	职务，角色
やく	約	大约
やくご	訳語	译词
やくしゃ	役者	演员
やくだつ	役立つ	有用，有益
やくだてる	役立てる	使用，用于
やくめ	役目	作用
やすやす		容易，轻易
やすらか	安らか	安稳，安静
やせる	痩せる	瘦
やたら		任意，胡乱，过分
やちん	家賃	房租
やっき		着急，急躁
やね	屋根	屋顶，房顶
やぶれる	敗れる	败，败北
やぶれる	破れる	破，裂，破灭
やまい	病	病
やまくち	山口	山口
やまざき	山崎	山崎
やまと	大和	大和
やまやま	山々	群山
やむ	止む	(雨)停
やら		表示不确定，列举
やりとり		相互，交替
ゆうえんち	遊園地	娱乐场
ゆうかん	夕刊	晚报
ゆうき	勇気	勇气
ゆうげん	有限	有限
ユーゴスラビア		南斯拉夫
ゆうじょう	友情	友情，友谊
ゆうしょく	夕食	晚饭
ゆうじん	友人	朋友
ゆうちょう	悠長	悠闲，稳静
ゆかい	愉快	愉快，有趣
ゆきき	行き来	往来，交往
ゆく	逝く	流逝，经过
ゆけつ	輸血	输血
ゆする	揺する	摇动，摇晃
ゆだねる	委ねる	委托，献(身)
ゆだん	油断	麻痹，疏忽
ゆにゅう	輸入	输入，进口
ゆめみる	夢見る	做梦，梦见
ゆらい	由来	来历，由来
ゆるす	許す	允许，同意
ようがん	溶岩	熔岩
ようきゅう	要求	要求
ようぐ	用具	用具，工具
ようじ	幼児	幼儿
ようしつ	洋室	西式房间
ようす	様子	样子，情况
ようすこう	揚子江	长江
ようび	曜日	星期
ようやく	要約	要点，概要
ようやく	漸く	终于，总算
ようれい	用例	用例
ヨーロッパ		欧洲
よくばる	欲張る	贪婪
よくよく	翼翼	小心翼翼
よこたわる	横たわる	躺卧，横放
よせる	寄せる	移近，召集，寄居
よのなか	世の中	世间，社会
よぼう	予防	预防
よほうかん	予報官	预报员
よほど		相当，十分
よみて	読み手	读的人
よみとる	読み取る	理解
よる	因る	根据，按照
よわむす	弱虫	懦夫
ら		~们
ライトきょうだい	ライト兄弟	莱特兄弟
らいにち	来日	来日，来到日本
らく（だ）	楽	轻松，舒适
らくだい	落第	不及格
らくらく	楽々	舒服，安适，快乐
ラジカセ		收录机
らん	欄	栏
りか	理科	理科(自然、化学、物理等)
りかい	理解	理解
りがい	利害	利害，利弊
りく	陸	陆地
りすうけい	理数系	理科和数学，物理专业
りそう	理想	理想
りち	理知	理智
りっきゃく	立脚	立足，根据
りっぱ	立派	杰出，优秀
りねん	理念	理念，理性
リボン		丝带，缎带
りゅうい	留意	留心，注意
りゅうがく（する）	留学	留学
りゅうこう	流行	流行
りゅうどう	流動	流动
りょう	寮	宿舍
りょう	猟	猎，狩猎
りょう	量	量；~量
りょうじ	領事	领事
りょうよう	療養	疗养
りょかっき	旅客機	客机
りりく	離陸	离地，起飞
るいけい	類型	类型
るすばん	留守番	看门
ルネサンス		文艺复兴
れい	例	例子，例
れい	礼	道谢，行礼
レーダー		雷达
レオナルド·ダ·ビンチ		列奥纳多·达·芬奇
レクリエーション		娱乐(活动)
れっとう	列島	列岛，群岛
れんこん		藕
れんそう	連想	联想
ろう	老	老~
ろうか	廊下	走廊
ろうどう	労働	劳动
ろうねん	老年	老年
ろうばい		狼狈
ろうふうふ	老夫婦	老年夫妇
ローマ		罗马
ろくおん	録音	录音
ロケット		火箭
ろんきょ	論拠	论据
ろんしょう	論証	论证
ろんせつ	論説	评论，社论
ロンドン		伦敦
なんぼく	南北	南北
